name,longitude_trench,latitude_trench,longitude_arc,latitude_arc,age,ridge_trench_angle_Φ,ridge_convergence_angle_α,migration_rate
Copiapo R.,-74.16462558206281,-19.83761141112141,-71.36076817898106,-19.51511927013713,27.0,24.76961718747353,8.553189188365577,1.5480816156863817
Juan Fernandez R.,-72.79943622192631,-32.66941392440552,-69.64771846753838,-31.86352173582957,0.0,30.972089092653817,5.1333552787020205,0.9530423488884628
Juan Fernandez R.,-72.79355171315402,-32.535486748561304,-69.67041707987441,-31.834763594599654,1.0,28.98513644562816,6.970126536127533,1.297599975308204
Juan Fernandez R.,-72.78227527845917,-32.34430555801704,-69.67560630141942,-31.68927991429365,2.0,26.881690827320185,7.42856950296395,1.3883061019412175
Juan Fernandez R.,-72.77600258532821,-32.14895665658924,-69.68053273229995,-31.377960839062403,3.0,26.658895830151977,5.047238512493659,0.9435238086699234
Juan Fernandez R.,-72.77696814603755,-31.962691676295734,-69.67967521901144,-30.76752782003223,4.0,32.8103026966128,2.511831504002616,0.491130037693865
Juan Fernandez R.,-72.80918248068086,-31.983198564129864,-69.72413593503487,-30.801258144174216,5.0,32.32669355902293,2.8884644190571613,0.5627558265440167
Juan Fernandez R.,-72.80457160150908,-31.49920827476304,-69.57756434073842,-29.725301348588665,6.0,36.17032747652086,14.942193795208976,3.2611778277116987
Juan Fernandez R.,-72.83767149897409,-31.293670977334944,-69.76087190632703,-30.361330198128968,7.0,24.004259551780365,10.209820201589634,2.3077284460467737
Juan Fernandez R.,-72.87480995419561,-31.12083541044852,-69.83359227226948,-30.659198621232783,8.0,15.591666236428736,0.009100166404927,0.002019531785
Juan Fernandez R.,-72.91522277207466,-31.100343370135143,-69.88908727364986,-30.804533278095747,9.0,12.375895735655646,5.384400898147577,1.294481127678328
Juan Fernandez R.,-72.96401992395701,-31.378118662803463,-69.9633194912323,-31.31404481996266,10.0,7.846879049005608,10.038547772040282,2.419924902396668
Juan Fernandez R.,-73.00726826550024,-31.704346480208272,-70.00788625784698,-31.86121762816824,11.0,6.310388393673463,11.200920026422011,2.0136554639120225
Juan Fernandez R.,-73.04639716077418,-32.00751288320559,-70.04675523528044,-32.103443806165465,12.0,7.633407298272004,13.720522820249403,2.685563973158128
Juan Fernandez R.,-73.08234119691424,-32.247202145744566,-70.08620153933383,-31.85927425479137,13.0,16.7385944309015,8.756090247401124,2.0365105803971613
Juan Fernandez R.,-73.11799404134207,-32.25196063170651,-70.1258372530782,-31.86491141840611,14.0,16.70549663029071,9.688833198540843,2.6178910161667908
Juan Fernandez R.,-73.14132378187206,-32.53329096824426,-70.16303794718186,-31.984129384065536,15.0,21.57790039593772,3.4490653064974133,1.0143383055092632
Juan Fernandez R.,-72.93465790865717,-29.77500853005781,-69.37647868780496,-25.376953084591506,16.0,59.92549987581339,40.15620805701141,21.70842693213019
Juan Fernandez R.,-72.51922473765224,-26.632542230604987,-69.48015224804374,-22.452576559352625,17.0,59.153256806089104,44.07998473635445,22.733571792861543
Juan Fernandez R.,-72.5260424916977,-24.90298487288504,-69.63789225530961,-21.41410480109437,18.0,52.50123930676192,42.97846122944341,17.86389618516436
Juan Fernandez R.,-72.609476713168,-23.90973203723223,-69.6694808211483,-22.03330083963604,19.0,29.725424652083998,26.652543950042435,8.062616825823188
Juan Fernandez R.,-72.68623679355173,-23.298235297448176,-69.75521070945089,-22.0078980809154,20.0,19.75450856291586,16.82581044215274,5.089029283934042
Juan Fernandez R.,-72.78871417676451,-22.75494160404513,-69.85561591688736,-21.79697847554585,21.0,10.726568294601918,13.392215047195393,3.7093534845993936
Juan Fernandez R.,-72.90722614622369,-22.243218709240647,-69.99420648445954,-21.366298744264395,22.0,5.166270366306506,18.536036129904623,4.225702045757241
Juan Fernandez R.,-72.98914645315838,-22.26749762865364,-70.07943549674569,-21.39110231845972,23.0,5.154161263564902,18.242245584949213,4.132789469444238
Juan Fernandez R.,-73.0344693936789,-22.746182558063325,-70.06993218184653,-22.30565331709193,24.0,2.1335678617131464,1.4793289912984258,0.2866079351555201
Juan Fernandez R.,-73.07312380613386,-23.385508472482968,-70.08045510768028,-23.16922035823676,25.0,0.396216030067734,6.60507880767353,1.2457844700095768
Juan Fernandez R.,-73.16101941709978,-24.028497083013445,-70.17143102421983,-23.84197670551801,26.0,0.694459911723257,5.9412714179537245,1.1262928281955884
Juan Fernandez R.,-73.2091387745302,-24.54078937721516,-70.2252840094912,-24.28224532773444,27.0,2.372661101188541,7.842477608175741,1.180835586883663
Inca Plateau,-81.52848214908325,-1.6760025845566102,-81.52848214908325,-1.6760025845566102,11.0,,,0.0
Inca Plateau,-82.07303932568004,-6.581892987789864,-82.07303932568004,-6.581892987789864,11.0,,,0.0
Inca Plateau,-81.52848214908325,-1.6760025845566102,-81.52848214908325,-1.6760025845566102,12.0,,,0.0
Inca Plateau,-82.10673875792776,-6.581892987789864,-82.10673875792776,-6.581892987789864,12.0,,,0.0
Inca Plateau,-81.52848214908325,-1.6760025845566102,-81.52848214908325,-1.6760025845566102,13.0,,,0.0
Inca Plateau,-82.14042379421191,-6.581892987789864,-82.14042379421191,-6.581892987789864,13.0,,,0.0
